client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585240.mp3	Вiн ударив зо всеї сили мужика по головi, потiм другою рукою, потiм ще раз.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585245.mp3	Доброго дня, пані та панове!	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585247.mp3	В його основі лежить метод машинного навчання.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585267.mp3	Великий білоруський бізнес тамтешня система змушує виконувати ледь не всі її забаганки.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585268.mp3	У мене є пропозиція.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585272.mp3	Великі люди нічого не роблять наполовину.	3	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585291.mp3	Звірившись на море, ти перестаєш належати сам собі.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585293.mp3	Я вже давно усміхаюсь тільки неодруженим чоловікам.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585294.mp3	Власність не повинна використовуватися на шкоду людині і суспільству.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585320.mp3	Лореляй або Лорелея - символ романтики, поетичного світосприймання	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585321.mp3	Ви - міський голова.	2	0	thirties	male		uk	
b41efb46205bb93d6cc3807a7bca8dcfd32f79cec467a08b6797ae86acf11c9772b36dd9138c206f6086f3d1f4d9db922f2f9e24498819c56b42dd79792332e5	common_voice_uk_21585363.mp3	Ніч за очі хапає.	2	0	thirties	male		uk	
