client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
b1344fe53c4c885719d55f2102664eedd30fe58a05c8979b2793fb8d1dd252ad01bd43a58ccddcfed690922f3873d6ab284d99a9cd65c5898e3fd4d1900bf3f1	common_voice_uk_22215828.mp3	Тобто ця процедура не мала права бути застосованою.	0	0	thirties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386768.mp3	"Тут якраз i могли сидiти ""тi""."	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386769.mp3	Пікассо безпосередньо зосередився на людському аспекті страждання.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386772.mp3	Такий сюжет кардинально вiдрiзняється вiд сюжету оригiнально гри.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386770.mp3	Я не вам говорю.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386771.mp3	Я пiшов ночувать до парубка.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386812.mp3	"псевдонім - вигадане ім'я, вибране автором чи виконавцем для позначення свого авторства"	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386788.mp3	Ми говоримо про повагу, Олег Валерійович, давайте триматися поваги.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386789.mp3	Угода може бути укладена через декілька днів або тижнів.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386790.mp3	Третя – неможливість взяти кредит, через що доводиться вкладати тільки власні гроші.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386792.mp3	Плеяди зорь світили нам тієї ночі	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386808.mp3	А цвіт опадає.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386791.mp3	Якщо відбувається постійний перегрів проводу, то ізоляція швидше прийде в непридатність	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386806.mp3	Щоб побачити веселку, треба пережити дощ.	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386811.mp3	Корінні родовища сапфирів зустрічаються в мармурах, базальтах і пегматитах	0	0	twenties	male		uk	
559cb5b0e529227c26fb340e09079748d1f604b381682a2a7b9e27e2a705afa241219000086f14dffa8dab5da5db7879e1822ab2921f1331f42bf68a21c416ef	common_voice_uk_22386810.mp3	Дітям важливо і цікаво зрозуміти, свідками чого вони стали.	0	0	twenties	male		uk	
